Item,Price,Date
Tenderstem™ Broccoli Tips 125g,26.99,2020-08-26
Kale 180g,25.99,2020-08-26
Mixed Berries 300g,76.99,2020-08-26
Bulk Broccoli & Cauliflower Florets 700g,44.99,2020-08-26
Chunky Roasting Vegetables 1.5Kg,59.99,2020-08-26
Classic Potato Salad 1Kg,59.99,2020-08-26
House Salad 270g,29.99,2020-08-26
"Broccoli, Butternut & Courgette 420g",42.00,2020-08-26
Fresh Honey Balsamic Salad Dressing 100g,21.99,2020-08-26
"Spicy Red Quinoa, Butternut & Kale Burger 4Pk",49.99,2020-08-26
Baby Leeks 200g,29.99,2020-08-26
Tenderstem™ Broccoli 65g,19.99,2020-08-26
Bulk Pumpkin 1Kg,36.99,2020-08-26
Potato Tots with Fresh Tomato Sauce 520g,59.99,2020-08-26
Ultimate Potato Mash 500g,39.99,2020-08-26
Crushed Chilli 50g,24.99,2020-08-26
Julienne Vegetables 400g,29.99,2020-08-26
Blueberries 3x40g,32.99,2020-08-26
Pick & Mix Citrus 350g,27.99,2020-08-26
Mange Tout Peas 140g,32.99,2020-08-26
Imported Golden Kiwi Fruit 6Pk,59.99,2020-08-26
Coconut Chunks 160g,32.99,2020-08-26
Plant Powered Protein Schnitzel 200g,39.99,2020-08-26
Beyond Burger Plant-Based Patties 2x113.5g,129.99,2020-08-26
Veg Risotto Kiev 2Pk,49.99,2020-08-26
Mung Bean Sprouts 100g,17.99,2020-08-26
Organic All Shapes & Sizes Carrots 1Kg,18.99,2020-08-26
Roasted Butternut & Spinach Phyllo Parcel 2Pk,54.99,2020-08-26
Mint Potted Herb,32.99,2020-08-26
Classic Greek Salad 390g,52.99,2020-08-26
Stuffed Sweet Potatoes Min 4 Halves,59.99,2020-08-26
Bulk Sea Salt & Black Pepper Croutons 180g,32.99,2020-08-26
Summer Roasting Vegetables 800g,59.99,2020-08-26
Thyme Potted Herb,32.99,2020-08-26
Plant Powered Protein Burger Patty 160g,39.99,2020-08-26
Plant Powered Protein Stir-Fry Strips 180g,39.99,2020-08-26
Tikka Chicken Pasta Salad 370g,56.99,2020-08-26
Kale,25.99,2020-08-26
Plant Powered Protein Savoury Mince 180g,39.99,2020-08-26
Parsley Potted Herb,32.99,2020-08-26
Mixed Baby Leaf Salad 80g,19.99,2020-08-26
Pink Lady® Apples 4Pk,21.99,2020-08-26
Organic Spinach 300g,24.99,2020-08-26
Pick & Mix Strawberries 200g,27.99,2020-08-26
Cape Gooseberries 200g,42.99,2020-08-26
Deli Style Potato Salad 1Kg,59.99,2020-08-26
Easy to Cook Thai Coconut Stir Fry Sauce  100g,18.00,2020-08-26
Exotic Mushrooms 150g,34.99,2020-08-26
Chicken Caesar Pasta Salad 200g,42.99,2020-08-26
Prawn & Avo Pasta Salad 400g,59.99,2020-08-26
Tikka Chicken Pasta Salad 250g,42.99,2020-08-26
Seasonal Fruit Salad 315g,32.99,2020-08-26
Sea Salt & Black Pepper Croutons 60g,21.99,2020-08-26
BBQ Chicken Pasta Salad 250g,42.99,2020-08-26
